Question,Answer
Kia German zuban systematic hai?,"Jee han, German zuban systematic hai aur rules ko follow karti hai."
Kia German zuban ko samajhna mushkil hai?,Agar aap German zuban ko step by step samajhte hain to yeh aap soch rahe hain se ziada asan ho sakti hai.
Kia German zuban mein English zuban se koi farq hai?,"Jee han, German zuban English se mukhtalif hai. Kuch basic principles ko samajhna aapke liye helpful ho sakta hai."
German zuban seekhne ke liye konsi bunyadi principles hain?,German grammatical principles zuban ko samajhne aur seekhne me madadgar sabit hoti hain.
German zuban kis jaga par baray huruf ka istemal karti hai?,"German zuban baray huruf ko siraf jumle ki shuruaat mein nahi balki jumle ke beech mein bhi istemal karti hai, khas taur par noun ke liye."
English zuban mein baray huruf kab istemal hotey hain?,"English mein baray huruf siraf proper names, personal pronoun 'I' aur personifications, jaise 'Love' ke liye istemal hotey hain."
German mein nouns kis tarah se likhey jate hain?,"German mein, tamam nouns hamesha baray huruf se likhe jaate hain."
German mein 'I' aur 'you' ko kis tarah se represent kiya jata hai?,"German mein 'I' (ich) ko koi initial capital nahi hota, lekin 'you' (Sie) ko initial capital se likha jata hai."
German alphabets mein kon se characters hain jo English alphabets mein mojood nahi hoty?,German alphabets mein 'ß' – the sharp ‘s’ mojood hai jo English alphabets mein nahi hota.
German alphabet mein sharp 's' ka kya matlab hota hai?,"German alphabet mein sharp 's' ka matlab 'Eszett' hota hai, jiska talaffuz 's' ki tarah hota hai."
'Eszett' ka German mein kya use hota hai?,"'Eszett' ka German mein istemal 'ei' aur 'ie' ke baad, aur 'a', 'o', 'u' ke baad hota hai jab woh lamba talaffuz hoty hain."
German mein 'Eszett' kis awaz ke baad use kiya jata hai?,"'Eszett' ko German mein 'ei' aur 'ie' ke baad, aur 'a', 'o', 'u' ke baad istemal kiya jata hai jab talaffuz lamba hota hai."
German zaban mein umlauts kya hain?,"German zaban mein umlauts ä, ö, ü hain."
German mein umlauts ka istemal lafz ki ma'ani ko kaise badal deta hai?,German mein umlauts ka istemal lafz ki talaffuz aur ma'ani dono ko badal deta hai.
German mein 'Mutter' aur 'Mütter' ka kya matlab hai?,"'Mutter' ka matlab German mein 'maa' hota hai, jabke 'Mütter' uska jam'a hai aur iska matlab 'maaen' hota hai."
German zaban mein 'musste' aur 'müsste' mein kya farq hai?,"'Musste' ka matlab 'karna pada' hota hai, jabke 'müsste' ka matlab 'chahiye tha' ya 'hona chahiye' hota hai."
German mai gender grammatical hota hai ya biological?,"German mai gender grammatical hota hai, biological nahi."
"Masculine, Feminine or Neuter gender ke liye German mai kin articles ka istemal hota hai?","'Der' masculine gender ke liye, 'Die' feminine gender ke liye, 'Das' neuter gender ke liye istemal hota hai."
German mai 'table' ko kia kaha jata hai or uski gender kia hoti hai?,'Table' ko German mai 'der Tisch' kaha jata hai or uski gender masculine hoti hai.
